"","median_I","low_I","high_I","Time"
"1",10.4625682073817,5.82636258771988,23.570552748581,0
"2",17.8300852952883,12.0970828511762,31.173309656891,1
"3",26.2673139759545,19.2657717698151,40.1737112198722,2
"4",35.6318867112152,27.406708363621,50.5355271790992,3
"5",45.8807000083317,36.2538200727586,61.6849232677631,4
"6",56.8603934601167,45.8665485124424,74.1080586439542,5
"7",68.5550433578377,56.0873633732021,87.3407412025853,6
"8",80.7642470233619,66.8609081320352,101.401995568216,7
"9",93.4121936051836,78.0320079508138,115.97899963445,8
"10",106.606522641795,89.5857527877194,131.023062635638,9
"11",120.084758214837,101.341249381828,146.389806167555,10
"12",133.954456127971,113.53353374963,162.078560116296,11
"13",148.040936123335,125.890308634488,178.339368087652,12
"14",162.204432984669,138.436171922532,195.045605968691,13
"15",176.592538584373,151.045993522274,211.51875715948,14
"16",191.142744767165,163.748915388027,228.429410575862,15
"17",205.733848627684,176.527538738596,245.515066934376,16
"18",220.386097174772,189.314404825463,262.198559984015,17
"19",235.092645397822,202.011791893719,279.246277084927,18
"20",249.774971063633,214.708126395688,296.295089805568,19
"21",264.45369973888,227.524801082404,312.820224364621,20
"22",279.193576298746,240.274025725613,329.581335704226,21
"23",293.779800400694,253.237351688494,346.420152140187,22
"24",308.264046414629,265.887768530727,362.74918898088,23
"25",322.782964433169,278.381360943607,379.0537797611,24
"26",337.18936630013,290.858135381001,394.967509103353,25
"27",351.407038777311,303.283278774832,410.898364588497,26
"28",365.453876010018,315.38636521108,426.781527310905,27
"29",379.352769450681,327.737045605102,442.587061643845,28
"30",393.112751221073,339.659012254472,458.131156807828,29
"31",406.8341353046,351.694243179983,473.262189830282,30
"32",420.401574022305,363.647943018064,488.269225256883,31
"33",433.796307330347,375.288469838283,503.221089507485,32
"34",447.092064873374,386.859853376991,517.844005610782,33
"35",460.181507153463,398.619750422211,532.300029084186,34
"36",473.166920573207,410.066053985507,546.422492898962,35
"37",485.879016693924,421.299575874269,560.555267770808,36
"38",498.541115535077,432.56270138122,574.244704416218,37
"39",511.0363576926,443.710210058165,587.775839001595,38
"40",523.324145348761,454.900308910727,600.846760774486,39
"41",535.557097489588,465.55198161051,614.187570893827,40
"42",547.551402579077,476.407016081557,627.15516087921,41
"43",559.357442221562,487.202916433397,639.961422848148,42
"44",571.136685892505,497.656730101262,652.688641322081,43
"45",582.753148702181,508.246558179009,664.799127591101,44
"46",594.195127077604,518.667620761569,676.896926955285,45
"47",605.439323903138,528.61026764421,689.033592761534,46
"48",616.52555933964,538.671632196461,700.716025113887,47
"49",627.520694108983,548.715513677526,712.460578925412,48
"50",638.338283431396,558.583184411404,723.883597474735,49
