"","median_I","low_I","high_I","Time"
"1",14.9542036822841,4.70865695278795,68.1787127287295,8
"2",24.1570267983146,10.3104979635545,79.447065073508,9
"3",35.2856028197408,17.1372797925423,93.7035650011728,10
"4",47.9430401607736,25.1088566719734,110.394639305559,11
"5",61.9183789996359,34.1350949175673,129.320892911153,12
"6",76.9066820480225,43.9376134245091,150.638219420254,13
"7",92.7218014888583,54.6950328423205,172.697248380092,14
"8",109.225873739025,65.9478573034671,197.326331310558,15
"9",126.312026604885,77.5497078401739,222.016942398354,16
"10",144.024021349291,89.5996195625755,247.371573714385,17
"11",162.172102963557,101.897386454673,273.152669801334,18
"12",180.714444342605,114.599186698119,299.294408297077,19
"13",199.313384924457,127.599699619523,325.408793227631,20
"14",218.165027413127,140.921121000143,351.546640540015,21
"15",237.235506970532,154.468084280136,376.675562875641,22
"16",256.433070780792,167.879131031926,402.455623142485,23
"17",275.426032358623,181.523773626332,427.701787787226,24
"18",294.528763228239,195.061533657831,452.985632866671,25
"19",313.52983405513,208.678961731511,477.428120220415,26
"20",332.312116863676,222.162528312306,501.286595279443,27
"21",351.050429661621,235.737291380978,524.568648227934,28
"22",369.516886891389,249.537319592174,547.326812797741,29
"23",387.565411260266,262.85861105532,569.345953826666,30
"24",405.605360583227,276.477790754713,591.036221487551,31
"25",423.530913081872,289.899432719693,611.758306464008,32
"26",440.973942100731,303.233412305463,632.154765048874,33
"27",458.226602999115,316.465311756986,651.95318434881,34
"28",475.350988928199,329.159721679016,671.237662722437,35
"29",492.211717547642,342.217456741877,690.07224580389,36
"30",508.762186869735,355.300805413945,708.502745915631,37
"31",524.981722876172,368.237524442871,726.277433564357,38
"32",541.035799634616,381.427641344202,743.362341388917,39
"33",556.485205015633,394.008812134667,760.145586278247,40
"34",571.760901905001,406.607539336212,776.568136923469,41
