median_I,low_I,high_I,Time
0.014954203682284074,0.004708656952787955,0.06817871272872948,8
0.024157026798314565,0.010310497963554467,0.07944706507350802,9
0.03528560281974076,0.01713727979254229,0.09370356500117284,10
0.047943040160773574,0.02510885667197338,0.1103946393055587,11
0.06191837899963586,0.03413509491756728,0.12932089291115284,12
0.07690668204802253,0.04393761342450913,0.15063821942025368,13
0.0927218014888583,0.05469503284232047,0.1726972483800921,14
0.10922587373902454,0.06594785730346714,0.19732633131055805,15
0.12631202660488466,0.07754970784017386,0.22201694239835426,16
0.14402402134929088,0.08959961956257548,0.24737157371438537,17
0.16217210296355747,0.10189738645467254,0.2731526698013343,18
0.18071444434260503,0.11459918669811908,0.29929440829707715,19
0.19931338492445727,0.12759969961952325,0.3254087932276307,20
0.2181650274131269,0.14092112100014284,0.35154664054001517,21
0.23723550697053156,0.15446808428013611,0.376675562875641,22
0.2564330707807919,0.1678791310319263,0.40245562314248484,23
0.2754260323586233,0.18152377362633215,0.42770178778722573,24
0.2945287632282393,0.1950615336578311,0.4529856328666712,25
0.31352983405512963,0.20867896173151063,0.47742812022041464,26
0.3323121168636761,0.2221625283123058,0.5012865952794432,27
0.3510504296616206,0.23573729138097782,0.5245686482279336,28
0.3695168868913891,0.24953731959217407,0.5473268127977405,29
0.3875654112602663,0.2628586110553196,0.5693459538266659,30
0.40560536058322716,0.2764777907547134,0.5910362214875514,31
0.42353091308187174,0.28989943271969315,0.6117583064640084,32
0.44097394210073093,0.303233412305463,0.6321547650488741,33
0.45822660299911455,0.3164653117569861,0.65195318434881,34
0.4753509889281994,0.3291597216790158,0.6712376627224368,35
0.4922117175476419,0.34221745674187715,0.6900722458038899,36
0.5087621868697348,0.3553008054139449,0.7085027459156309,37
0.5249817228761722,0.3682375244428706,0.7262774335643566,38
0.541035799634616,0.38142764134420215,0.7433623413889171,39
0.5564852050156333,0.3940088121346671,0.7601455862782469,40
0.5717609019050012,0.4066075393362124,0.7765681369234685,41
